"","x","fit1","fit3"
"1",-5,-21.8914701333576,-10.6515297627383
"2",-4.999,-21.8838811967926,-10.6322413402019
"3",-4.998,-21.8762922602276,-10.6129662582707
"4",-4.997,-21.8687033236627,-10.5937045133009
"5",-4.996,-21.8611143870977,-10.5744561016489
"6",-4.995,-21.8535254505328,-10.5552210196708
"7",-4.994,-21.8459365139678,-10.5359992637232
"8",-4.993,-21.8383475774028,-10.5167908301621
"9",-4.992,-21.8307586408379,-10.497595715344
"10",-4.991,-21.8231697042729,-10.4784139156251
"11",-4.99,-21.815580767708,-10.4592454273618
"12",-4.989,-21.807991831143,-10.4400902469102
"13",-4.988,-21.800402894578,-10.4209483706267
"14",-4.987,-21.7928139580131,-10.4018197948676
"15",-4.986,-21.7852250214481,-10.3827045159893
"16",-4.985,-21.7776360848832,-10.3636025303479
"17",-4.984,-21.7700471483182,-10.3445138342998
"18",-4.983,-21.7624582117532,-10.3254384242013
"19",-4.982,-21.7548692751883,-10.3063762964087
"20",-4.981,-21.7472803386233,-10.2873274472782
"21",-4.98,-21.7396914020583,-10.2682918731662
"22",-4.979,-21.7321024654934,-10.249269570429
"23",-4.978,-21.7245135289284,-10.2302605354228
"24",-4.977,-21.7169245923635,-10.211264764504
"25",-4.976,-21.7093356557985,-10.1922822540288
"26",-4.975,-21.7017467192335,-10.1733130003536
"27",-4.974,-21.6941577826686,-10.1543569998346
"28",-4.973,-21.6865688461036,-10.1354142488281
"29",-4.972,-21.6789799095387,-10.1164847436905
"30",-4.971,-21.6713909729737,-10.0975684807779
"31",-4.97,-21.6638020364087,-10.0786654564468
"32",-4.969,-21.6562130998438,-10.0597756670534
"33",-4.968,-21.6486241632788,-10.040899108954
"34",-4.967,-21.6410352267138,-10.0220357785049
"35",-4.966,-21.6334462901489,-10.0031856720625
"36",-4.965,-21.6258573535839,-9.98434878598285
"37",-4.964,-21.618268417019,-9.96552511662244
"38",-4.963,-21.610679480454,-9.94671466033751
"39",-4.962,-21.603090543889,-9.92791741348434
"40",-4.961,-21.5955016073241,-9.90913337241925
"41",-4.96,-21.5879126707591,-9.89036253349853
"42",-4.959,-21.5803237341942,-9.87160489307848
"43",-4.958,-21.5727347976292,-9.85286044751538
"44",-4.957,-21.5651458610642,-9.83412919316552
"45",-4.956,-21.5575569244993,-9.81541112638523
"46",-4.955,-21.5499679879343,-9.79670624353076
"47",-4.954,-21.5423790513693,-9.77801454095844
"48",-4.953,-21.5347901148044,-9.75933601502454
"49",-4.952,-21.5272011782394,-9.74067066208538
"50",-4.951,-21.5196122416745,-9.72201847849723
"51",-4.95,-21.5120233051095,-9.70337946061642
"52",-4.949,-21.5044343685445,-9.68475360479921
"53",-4.948,-21.4968454319796,-9.6661409074019
"54",-4.947,-21.4892564954146,-9.64754136478078
"55",-4.946,-21.4816675588497,-9.62895497329217
"56",-4.945,-21.4740786222847,-9.61038172929236
"57",-4.944,-21.4664896857197,-9.59182162913763
"58",-4.943,-21.4589007491548,-9.57327466918426
"59",-4.942,-21.4513118125898,-9.55474084578861
"60",-4.941,-21.4437228760249,-9.53622015530691
"61",-4.94,-21.4361339394599,-9.51771259409548
"62",-4.939,-21.4285450028949,-9.4992181585106
"63",-4.938,-21.42095606633,-9.48073684490858
"64",-4.937,-21.413367129765,-9.46226864964574
"65",-4.936,-21.4057781932,-9.44381356907832
"66",-4.935,-21.3981892566351,-9.42537159956264
"67",-4.934,-21.3906003200701,-9.406942737455
"68",-4.933,-21.3830113835052,-9.38852697911171
"69",-4.932,-21.3754224469402,-9.37012432088905
"70",-4.931,-21.3678335103752,-9.35173475914329
"71",-4.93,-21.3602445738103,-9.33335829023075
"72",-4.929,-21.3526556372453,-9.31499491050773
"73",-4.928,-21.3450667006804,-9.29664461633052
"74",-4.927,-21.3374777641154,-9.2783074040554
"75",-4.926,-21.3298888275504,-9.25998327003869
"76",-4.925,-21.3222998909855,-9.24167221063666
"77",-4.924,-21.3147109544205,-9.22337422220564
"78",-4.923,-21.3071220178556,-9.20508930110187
"79",-4.922,-21.2995330812906,-9.1868174436817
"80",-4.921,-21.2919441447256,-9.1685586463014
"81",-4.92,-21.2843552081607,-9.15031290531725
"82",-4.919,-21.2767662715957,-9.13208021708558
"83",-4.918,-21.2691773350307,-9.11386057796269
"84",-4.917,-21.2615883984658,-9.09565398430482
"85",-4.916,-21.2539994619008,-9.07746043246831
"86",-4.915,-21.2464105253359,-9.05927991880944
"87",-4.914,-21.2388215887709,-9.0411124396845
"88",-4.913,-21.2312326522059,-9.02295799144981
"89",-4.912,-21.223643715641,-9.00481657046164
"90",-4.911,-21.216054779076,-8.98668817307627
"91",-4.91,-21.208465842511,-8.96857279565005
"92",-4.909,-21.2008769059461,-8.95047043453922
"93",-4.908,-21.1932879693811,-8.93238108610013
"94",-4.907,-21.1856990328162,-8.91430474668901
"95",-4.906,-21.1781100962512,-8.8962414126622
"96",-4.905,-21.1705211596862,-8.87819108037598
"97",-4.904,-21.1629322231213,-8.86015374618665
"98",-4.903,-21.1553432865563,-8.84212940645051
"99",-4.902,-21.1477543499914,-8.82411805752384
"100",-4.901,-21.1401654134264,-8.80611969576294
"101",-4.9,-21.1325764768614,-8.78813431752413
"102",-4.899,-21.1249875402965,-8.77016191916366
"103",-4.898,-21.1173986037315,-8.75220249703784
"104",-4.897,-21.1098096671666,-8.734256047503
"105",-4.896,-21.1022207306016,-8.7163225669154
"106",-4.895,-21.0946317940366,-8.69840205163133
"107",-4.894,-21.0870428574717,-8.68049449800712
"108",-4.893,-21.0794539209067,-8.66259990239904
"109",-4.892,-21.0718649843417,-8.64471826116338
"110",-4.891,-21.0642760477768,-8.62684957065644
"111",-4.89,-21.0566871112118,-8.60899382723451
"112",-4.889,-21.0490981746469,-8.59115102725391
"113",-4.888,-21.0415092380819,-8.57332116707092
"114",-4.887,-21.0339203015169,-8.55550424304183
"115",-4.886,-21.026331364952,-8.53770025152293
"116",-4.885,-21.018742428387,-8.51990918887054
"117",-4.884,-21.0111534918221,-8.50213105144094
"118",-4.883,-21.0035645552571,-8.4843658355904
"119",-4.882,-20.9959756186921,-8.46661353767524
"120",-4.881,-20.9883866821272,-8.44887415405178
"121",-4.88,-20.9807977455622,-8.43114768107628
"122",-4.879,-20.9732088089972,-8.41343411510503
"123",-4.878,-20.9656198724323,-8.39573345249435
"124",-4.877,-20.9580309358673,-8.37804568960051
"125",-4.876,-20.9504419993024,-8.36037082277985
"126",-4.875,-20.9428530627374,-8.34270884838859
"127",-4.874,-20.9352641261724,-8.3250597627831
"128",-4.873,-20.9276751896075,-8.30742356231965
"129",-4.872,-20.9200862530425,-8.28980024335451
"130",-4.871,-20.9124973164776,-8.27218980224401
"131",-4.87,-20.9049083799126,-8.2545922353444
"132",-4.869,-20.8973194433476,-8.23700753901203
"133",-4.868,-20.8897305067827,-8.21943570960315
"134",-4.867,-20.8821415702177,-8.20187674347409
"135",-4.866,-20.8745526336528,-8.18433063698112
"136",-4.865,-20.8669636970878,-8.16679738648055
"137",-4.864,-20.8593747605228,-8.14927698832867
"138",-4.863,-20.8517858239579,-8.13176943888177
"139",-4.862,-20.8441968873929,-8.11427473449614
"140",-4.861,-20.8366079508279,-8.09679287152811
"141",-4.86,-20.829019014263,-8.07932384633393
"142",-4.859,-20.821430077698,-8.06186765526991
"143",-4.858,-20.8138411411331,-8.04442429469237
"144",-4.857,-20.8062522045681,-8.02699376095757
"145",-4.856,-20.7986632680031,-8.00957605042181
"146",-4.855,-20.7910743314382,-7.99217115944143
